Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$]
TRENDPULSE,"QQQ, Long, 2025-10-28 (Price: 632.92)",Daily,2026-02-04 (Price: 605.75),No Price Target,No Date Target,5.11%/8.28%,"-4.29%, 3.3 months","2026-04-17 (Price: 648.8500), 2.52% above",669.2496 (Historic Rise or Fall to Pivot)/655.895 (Avg % Gain of Historic Winning trades)/707.13 (Function Specific Target)/836.2536 (F-Stack 2)/674.3763 (Backtested Max)/636.7175 (Backtested Min),No Next Date Target,589.5/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/535.18,"95.24%, Past 4 years, 21",No Information,No Information,No Information,No Information,No Information,3.56% below/4.29% below/4.29% below,6.55%/0.6%/3.63%,"1.69%, 22.88%",27 days/6 days/14 days,13.5%,13.63%,-0.13%,1.17,0.77,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,630.36,
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2026-02-02 (Avg),8.6%/11.62%,"-1.84%, 3.4 months","2026-04-17 (Price: 648.8500), 5.15% above",700.9022 (Historic Rise or Fall to Pivot)/657.8286 (Avg % Gain of Historic Winning trades)/676.16 (Function Specific Target)/836.2536 (F-Stack 2)/691.584 (Backtested Max),2026-04-26 (Max),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"88.24%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,0.3% above/1.84% below/1.84% below,12.07%/1.74%/6.6%,"10.15%, 35.46%",4.2 months/1.2 month/2.3 months,8.62%,11.98%,-3.36%,0.65,0.79,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,607.14,
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",Daily,No Exit Yet,324.5591 (Historic Rise or Fall to Pivot),2026-02-06 (Min),1.85%/5.47%,"3.04%, 8 days","2026-04-17 (Price: 311.3600), 0.88% below",341.41 (Function Specific Target)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/329.6794 (Backtested Max),2026-07-15 (Max)/2026-02-06 (Min)/2026-03-24 (Avg),302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,"83.33%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,3.43% above/3.04% above/3.04% above,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,12.38%,5.6%,6.78%,1.08,0.28,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,312.32,
BAND MATRIX,"MCD, Long, 2025-06-11 (Price: 301.72)",Daily,No Exit Yet,323.16 (Function Specific Target)/322.0 (Horizontal),No Date Target,1.77%/5.63%,"7.28%, 7.9 months","2026-04-17 (Price: 311.3600), 3.20% above",329.4179 (Avg % Gain of Historic Winning trades)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/341.9091 (Backtested Max),2028-02-26 (Max)/2026-07-02 (Avg),300.43/204.46/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,13.32%/5.48%/9.18%,"-0.0%, 18.2%",1.9 year/2.5 months/8.9 months,11.3%,5.91%,5.39%,1.7,0.33,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),portfolio_target_achieved,300.2,
FRACTAL TRACK,"BTI, Long, 2025-12-23 (Price: 57.04)",Daily,No Exit Yet,61.6545 (Historic Rise or Fall to Pivot)/62.0937 (Avg % Gain of Historic Winning trades),No Date Target,1.41%/3.04%,"8.05%, 1.4 month","2026-04-17 (Price: 56.6800), 0.63% below",62.5 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/63.5026 (Backtested Max),2030-09-08 (Max)/2026-02-21 (Min)/2027-09-09 (Avg),56.45/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.45,"100.0%, Past 5 years, 12",No Information,No Information,No Information,"23.66% (Price: 56.8269), 8.45% above, Upmove Bounce Back","2025-10-21 (Price: 49.88), 2025-12-11 (Price: 58.98)",No Information,11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,11.0%,5.81%,5.19%,1.67,0.3,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),portfolio_target_achieved,56.89,
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),1.46%/7.34%,"1.57%, 5 days","2026-04-17 (Price: 56.6800), 6.59% below",66.2929 (Historic Rise or Fall to Pivot)/62.5307 (Avg % Gain of Historic Winning trades)/79.98 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.1533 (Backtested Max),2026-06-18 (Max)/2026-03-10 (Avg),53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,"100.0%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,1.57% above/1.57% above/1.57% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,13.01%,4.6%,8.41%,1.21,0.22,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,60.11,
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",Daily,2026-02-02 (Price: 49.91),No Price Target,No Date Target,2.73%/2.75%,"18.0%, 26 days","2026-04-17 (Price: 58.8100), 31.80% above",54.0973 (Historic Rise or Fall to Pivot)/54.44 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/54.0884 (Backtested Max),2026-08-31 (Max)/2026-03-02 (Avg),No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.2,"83.33%, Past 6 years, 18",No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,20.81%,10.2%,10.61%,0.68,0.51,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets),portfolio_target_achieved,44.08,
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,51.51 (Horizontal),No Date Target,25.04%/30.39%,"26.35%, 8.3 months","2026-04-17 (Price: 58.8100), 41.13% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/7.3 months (Across ALL Assets),portfolio_target_achieved,39.51,
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,2026-02-04 (Price: 40.02),40.469 (Avg % Gain of Historic Winning trades)/39.8673 (Backtested Min),No Date Target,2.27%/3.59%,"15.73%, 10.1 months","2026-04-17 (Price: 38.0300), 9.98% above",46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"38.2% (Price: 32.1618), 24.43% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),portfolio_target_achieved,33.0,
TRENDPULSE,"FPH.NZ, Long, 2025-09-19 (Price: 38.32)",Daily,2026-02-04 (Price: 40.02),No Price Target,No Date Target,1.08%/1.4%,"4.44%, 4.6 months","2026-04-17 (Price: 38.0300), 0.76% below",40.4506 (Historic Rise or Fall to Pivot)/40.58 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.5352 (Backtested Max),2026-02-18 (Max),37.45/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,6.78% above/4.44% above/4.44% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,37.33,
DELTADRIFT,"MEL.NZ, Long, 2025-12-02 (Price: 5.61)",Daily,No Exit Yet,5.72 (EMA 200),No Date Target,0.85%/1.9%,"1.78%, 2.1 months","2026-04-17 (Price: 5.5400), 1.25% below",5.8563 (Historic Rise or Fall to Pivot)/5.8187 (Avg % Gain of Historic Winning trades)/5.84 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/5.8737 (Backtested Max)/5.7587 (Backtested Min),No Next Date Target,5.58/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/No EMA 200 Support,"77.78%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.72%,"9.78%, 16.99%",23 days/1 day/11 days,4.59%,-3.26%,7.85%,0.12,-0.21,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,5.6,
TRENDPULSE,"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",Daily,No Exit Yet,5.7116 (Backtested Min),No Date Target,0.35%/1.75%,"1.42%, 21 days","2026-04-17 (Price: 5.5400), 1.60% below",5.8282 (Historic Rise or Fall to Pivot)/5.8349 (Avg % Gain of Historic Winning trades)/5.81 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.73 (EMA 200)/6.0224 (Backtested Max),2027-01-09 (Max)/2026-02-11 (Min)/2026-05-20 (Avg),5.55/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.94%, Past 4 years, 33",No Information,No Information,No Information,No Information,No Information,1.42% above/1.42% above/1.42% above,6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,15.17%,1.53%,13.64%,0.66,0.09,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,5.61,
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),2.22%/5.19%,"0.58%, 1.8 month","2026-04-17 (Price: 46.1600), 7.77% above",45.3141 (Historic Rise or Fall to Pivot)/46.5562 (Avg % Gain of Historic Winning trades)/54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max)/44.0378 (Backtested Min),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.48,"100.0%, Past 5 years, 16",No Information,No Information,No Information,"23.66% (Price: 42.2713), 1.91% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),portfolio_target_achieved,43.17,
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.96%,"15.71%, 3.9 years","2026-04-17 (Price: 46.1600), 23.99% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",No Information,No Information,No Information,No Information,No Information,15.71% above/15.71% above/15.71% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),portfolio_target_achieved,35.775,
FRACTAL TRACK,"IFT.NZ, Long, 2025-06-30 (Price: 10.6)",Monthly,No Exit Yet,No Price Target,2026-02-06 (Min),11.47%/16.59%,"3.21%, 7.3 months","2026-04-17 (Price: 12.0500), 13.68% above",12.1953 (Historic Rise or Fall to Pivot)/12.8642 (Avg % Gain of Historic Winning trades)/17.08 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.0433 (Backtested Max)/12.755 (Backtested Min),2027-10-12 (Max)/2026-02-06 (Min)/2027-01-24 (Avg),10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 31 years, 7",No Information,No Information,No Information,"38.2% (Price: 9.2141), 18.73% above, Upmove Bounce Back","2016-12-31 (Price: 2.5393), 2024-10-31 (Price: 13.34)",No Information,23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,8.62%,8.22%,0.4%,0.91,0.49,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),portfolio_target_achieved,10.55,
TRENDPULSE,"IFT.NZ, Long, 2025-12-07 (Price: 11.78)",Weekly,No Exit Yet,No Price Target,2026-02-05 (Min),8.21%/9.0%,"-7.13%, 2 months","2026-04-17 (Price: 12.0500), 2.29% above",12.839 (Historic Rise or Fall to Pivot)/12.6988 (Avg % Gain of Historic Winning trades)/14.34 (Function Specific Target)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.5661 (Backtested Max)/11.8377 (Backtested Min),2027-07-03 (Max)/2026-02-05 (Min)/2026-06-29 (Avg),11.55/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.34,"100.0%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,7.13% below/7.13% below/7.13% below,32.14%/0.49%/7.8%,"0%, 24.36%",1.1 year/1.4 month/4.7 months,9.48%,8.73%,0.75%,1.08,0.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,11.69,
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",Daily,2026-02-02 (Price: 133.66),No Price Target,No Date Target,26.8%/29.31%,"-19.46%, 12 days","2026-04-17 (Price: 147.0200), 1.39% below",158.751 (Historic Rise or Fall to Pivot)/155.2772 (Avg % Gain of Historic Winning trades)/157.01 (Function Specific Target)/209.885 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/184.35 (EMA 200)/159.6158 (Backtested Max)/152.2656 (Backtested Min),2026-04-11 (Max)/2026-02-09 (Avg),148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,3.12%,-2.75%,5.87%,0.03,-0.07,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,148.62,
TRENDPULSE,"KXS.TO, Long, 2025-05-18 (Price: 197.98)",Weekly,No Exit Yet,No Price Target,2026-02-07 (Max),73.05%/77.14%,"-39.35%, 8.7 months","2026-04-17 (Price: 147.0200), 25.74% below",212.7097 (Historic Rise or Fall to Pivot)/218.6887 (Avg % Gain of Historic Winning trades)/207.8 (Function Specific Target)/225.9867 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/252.9788 (Backtested Max),2026-02-07 (Max),155.11/125.3967/177.4966/151.1683/No F-Track Level/No F-Track Level/166.06,"91.67%, Past 10 years, 12",No Information,No Information,No Information,No Information,No Information,37.6% below/39.35% below/39.35% below,27.78%/4.77%/10.46%,"3.79%, 30.73%",6.1 months/1.2 month/3 months,9.28%,17.23%,-7.95%,0.91,0.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,194.26,
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.7478 (Backtested Min),No Date Target,4.44%/8.06%,"11.87%, 4.2 months","2026-04-17 (Price: 2.8700), 14.84% below",3.9375 (Historic Rise or Fall to Pivot)/4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,19.68% above/11.87% above/11.87% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,3.13,
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.77 (Backtested Min),No Date Target,5.06%/8.69%,"11.21%, 11.4 months","2026-04-17 (Price: 2.8700), 15.34% below",3.9609 (Historic Rise or Fall to Pivot)/4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,32.28% above/11.21% above/11.21% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),portfolio_target_achieved,2.85,
TRENDPULSE,"SUM.NZ, Long, 2026-01-06 (Price: 12.41)",Daily,No Exit Yet,No Price Target,2026-02-06 (Avg),9.78%/10.73%,"-7.66%, 29 days","2026-04-17 (Price: 8.2500), 33.52% below",13.0044 (Historic Rise or Fall to Pivot)/13.028 (Avg % Gain of Historic Winning trades)/12.69 (Function Specific Target)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.4698 (Backtested Max)/12.5813 (Backtested Min),2026-10-02 (Max)/2026-02-06 (Avg),11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.43,"94.44%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,7.66% below/7.66% below/7.66% below,8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,16.06%,5.58%,10.48%,1.15,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,12.36,
TRENDPULSE,"SUM.NZ, Long, 2025-11-16 (Price: 12.25)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Max),10.09%/12.3%,"-6.45%, 2.7 months","2026-04-17 (Price: 8.2500), 32.65% below",13.5301 (Historic Rise or Fall to Pivot)/13.0499 (Avg % Gain of Historic Winning trades)/12.87 (Function Specific Target)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.5595 (Backtested Max)/12.6163 (Backtested Min),2026-02-06 (Max),10.66/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.45,"90.91%, Past 10 years, 11",No Information,No Information,No Information,No Information,No Information,3.37% below/6.45% below/6.45% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,-0.02%,11.46%,-11.48%,0.54,0.63,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,11.86,
TRENDPULSE,"MSFT, Long, 2026-01-26 (Price: 470.28)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),17.84%/17.92%,"-12.56%, 8 days","2026-04-17 (Price: 422.7900), 10.10% below",486.3636 (Historic Rise or Fall to Pivot)/484.9057 (Avg % Gain of Historic Winning trades)/494.69 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/484.55 (EMA 200)/520.0356 (Backtested Max),2026-07-14 (Max)/2026-03-04 (Avg),444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,"87.5%, Past 4 years, 32",No Information,No Information,No Information,No Information,No Information,12.56% below/12.56% below/12.56% below,10.58%/0.94%/3.11%,"6.45%, 26.99%",3.9 months/6 days/26 days,13.15%,14.47%,-1.32%,0.53,0.76,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,465.31,
TRENDPULSE,"META, Long, 2026-01-26 (Price: 672.36)",Daily,No Exit Yet,No Price Target,2026-02-06 (Min),10.33%/25.93%,"-0.5%, 9 days","2026-04-17 (Price: 688.5500), 2.41% above",738.1168 (Historic Rise or Fall to Pivot)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2),2026-08-09 (Max)/2026-02-06 (Min)/2026-03-09 (Avg),604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"95.0%, Past 4 years, 20",No Information,No Information,No Information,No Information,No Information,1.55% above/0.5% below/0.5% below,7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,19.23%,15.29%,3.94%,0.63,0.7,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,665.13,
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,4.27%/19.32%,"21.67%, 10.6 months","2026-04-17 (Price: 710.1400), 25.92% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),portfolio_target_achieved,562.79,
TRENDPULSE,"ORCL, Long, 2026-01-26 (Price: 182.44)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),25.3%/31.53%,"-19.61%, 9 days","2026-04-17 (Price: 175.0600), 4.05% below",202.0341 (Historic Rise or Fall to Pivot)/192.9121 (Avg % Gain of Historic Winning trades)/216.06 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/218.9 (EMA 200)/207.2883 (Backtested Max)/183.7718 (Backtested Min),2026-06-14 (Max)/2026-03-19 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 17",No Information,No Information,No Information,No Information,No Information,17.21% below/19.61% below/19.61% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,179.1,
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",Daily,No Exit Yet,156.5052 (Backtested Max),No Date Target,14.4%/18.98%,"3.36%, 5 days","2026-04-17 (Price: 146.9300), 3.19% below",179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2),2026-06-22 (Max)/2026-02-07 (Min)/2026-03-23 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,4.65% above/3.36% above/3.36% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),portfolio_target_achieved,150.43,
